Date,Time,"Virtual Memory Commited [MB]","Virtual Memory Available [MB]","Virtual Memory Load [%]","Physical Memory Used [MB]","Physical Memory Available [MB]","Physical Memory Load [%]","Page File Usage [%]","Core #0 VID [V]","Core #1 VID [V]","Core #2 VID [V]","Core #3 VID [V]","Core #4 VID [V]","Core #5 VID [V]","Core #0 Clock (perf #1) [MHz]","Core #1 Clock [MHz]","Core #2 Clock (perf #0) [MHz]","Core #3 Clock (perf #3) [MHz]","Core #4 Clock [MHz]","Core #5 Clock (perf #4) [MHz]","Bus Clock [MHz]","Core #0 Thread #0 Usage [%]","Core #0 Thread #1 Usage [%]","Core #1 Thread #0 Usage [%]","Core #1 Thread #1 Usage [%]","Core #2 Thread #0 Usage [%]","Core #2 Thread #1 Usage [%]","Core #3 Thread #0 Usage [%]","Core #3 Thread #1 Usage [%]","Core #4 Thread #0 Usage [%]","Core #4 Thread #1 Usage [%]","Core #5 Thread #0 Usage [%]","Core #5 Thread #1 Usage [%]","Max CPU/Thread Usage [%]","Total CPU Usage [%]","Core #0 Ratio [x]","Core #1 Ratio [x]","Core #2 Ratio [x]","Core #3 Ratio [x]","Core #4 Ratio [x]","Core #5 Ratio [x]","Memory Clock [MHz]","Memory Clock Ratio [x]","Tcas [T]","Trcd [T]","Trp [T]","Tras [T]","Trc [T]","Trfc [T]","Command Rate [T]","CPU (Tctl/Tdie) [°C]","CPU Core Voltage (SVI2 TFN) [V]","SoC Voltage (SVI2 TFN) [V]","CPU Core Current (SVI2 TFN) [A]","SoC Current (SVI2 TFN) [A]","CPU Package Power (SMU) [W]","Core #0 Power (SMU) [W]","Core #1 Power (SMU) [W]","Core #2 Power (SMU) [W]","Core #3 Power (SMU) [W]","Core #4 Power (SMU) [W]","Core #5 Power (SMU) [W]","CPU Core Power (SVI2 TFN) [W]","SoC Power (SVI2 TFN) [W]","CPU+SoC Power (SVI2 TFN) [W]","CPU [°C]","Motherboard [°C]","Temperature 3 [°C]","Temperature 4 [°C]","Temperature 5 [°C]","Temperature 6 [°C]","VDDCR CPU [V]","Vccp2 [V]","+12V [V]","+5V [V]","VIN4 [V]","VIN5 [V]","VIN6 [V]","3VSB [V]","VBAT [V]","AVCC3 [V]","CPU [RPM]","Chassis2 [RPM]","Chassis3 [RPM]","Chassis Intrusion [Yes/No]","Drive Temperature [°C]","Drive Remaining Life [%]","Drive Failure [Yes/No]","Drive Warning [Yes/No]","Total Host Writes [GB]","Total Host Reads [GB]","Read Activity [%]","Write Activity [%]","Total Activity [%]","Read Rate [MB/s]","Write Rate [MB/s]","Read Total [MB]","Write Total [MB]","GPU Thermal Diode [°C]","GPU Core Voltage (VDDC) [V]","GPU Fan [RPM]","GPU Core Current [A]","GPU Core Power [W]","GPU Chip Power [W]","GPU Clock [MHz]","GPU Memory Clock [MHz]","GPU Utilization [%]","GPU D3D Usage [%]","GPU Video Decode 0 Usage [%]","GPU Video Encode 0 Usage [%]","GPU Video Encode 1 Usage [%]","GPU Video Encode 2 Usage [%]","GPU Video Encode 3 Usage [%]","GPU Video Encode 4 Usage [%]","GPU Computing (High Priority Compute) Usage [%]","GPU Computing (Compute 3) Usage [%]","GPU Computing (Compute 0) Usage [%]","GPU Computing (Compute 1) Usage [%]","GPU Fan Speed [%]","GPU D3D Memory Dedicated [MB]","GPU D3D Memory Dynamic [MB]","PCIe Link Speed [GT/s]","GPU Memory Usage [MB]","GPU Memory Errors []","GPU Voltage [V]","GPU VRM Voltage In (VIN/+12V) [V]","GPU VID [V]","GPU Current [A]","GPU VRM Power Out (POUT) [W]","Total DL [MB]","Total UP [MB]","Current DL rate [KB/s]","Current UP rate [KB/s]","Total Errors []","GPU Aux Current [A]",
10.11.2018,16:19:43.308,5602,8665,39.2,2665,5458,32.8,0.4,0.525,1.375,1.369,1.419,1.431,1.431,2993.7,2827.3,2993.7,2827.3,4116.3,4216.1,99.8,1.4,0.7,0.7,0.0,2.1,0.7,0.0,0.0,0.7,0.0,0.7,0.7,2.1,0.6,30.0,28.3,30.0,28.3,41.3,42.3,1496.8,15.00,16,20,20,38,70,525,1,34.8,0.875,1.094,1.318,9.118,13.602,0.316,0.175,0.265,0.199,0.247,0.568,1.153,9.972,11.125,34,23,28,28,28,28,1.363,2.507,12.034,5.096,0.033,0.033,0.033,3.357,3.205,3.357,1243,1300,1207,Yes,27,96.0,No,No,7335,9723,0.0,0.0,0.0,0.001,0.079,3480,3174,29,0.800,0,9.281,7.425,34.633,300.0,1000.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207,24,8.0,274,0,0.800,11.703,0.800,8.789,7.031,227,16,0.000,0.000,0,0.000,
10.11.2018,16:19:45.512,5723,8544,40.1,2757,5366,33.9,0.4,1.350,1.363,1.356,1.350,1.375,1.350,4091.3,4116.3,4091.3,4116.3,4116.3,4091.3,99.8,4.9,9.8,7.8,2.8,25.5,11.9,7.8,2.1,6.2,2.8,4.9,2.8,25.5,7.4,41.0,41.3,41.0,41.3,41.3,41.0,1496.8,15.00,16,20,20,38,70,525,1,42.6,1.394,1.087,19.106,9.706,27.932,2.304,1.595,4.501,1.648,1.445,2.357,26.629,10.555,37.184,42,23,27,27,27,27,1.352,2.496,12.034,5.096,0.033,0.033,0.033,3.357,3.205,3.357,1203,1298,1209,Yes,27,96.0,No,No,7335,9723,100.0,0.1,100.0,35.578,0.269,3555,3175,29,0.819,0,9.281,7.599,39.090,751.0,300.0,24.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229,26,8.0,292,0,0.819,11.703,0.819,8.398,6.311,227,16,43.440,3.707,0,0.000,
10.11.2018,16:19:47.715,5810,8457,40.7,2819,5304,34.7,0.4,1.375,1.356,1.375,1.375,1.438,1.450,2993.7,2827.3,2827.3,2827.3,2827.3,4216.1,99.8,8.5,8.5,7.8,0.7,21.9,4.2,6.3,3.5,6.3,0.7,2.1,7.8,21.9,6.5,30.0,28.3,28.3,28.3,28.3,42.3,1496.8,15.00,16,20,20,38,70,525,1,39.3,1.437,1.087,4.612,9.118,27.486,2.478,1.511,2.996,1.526,1.618,1.566,6.629,9.915,16.545,39,23,28,28,28,28,1.341,2.507,12.034,5.096,0.033,0.033,0.033,3.335,3.205,3.335,1391,1298,1207,Yes,27,96.0,No,No,7335,9723,12.5,0.3,12.8,15.444,0.354,3587,3175,29,0.750,0,6.750,5.063,33.289,300.0,300.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294,30,8.0,357,0,0.750,11.703,0.750,6.836,5.139,227,16,19.718,6.223,0,0.000,
10.11.2018,16:19:49.919,5895,8372,41.3,2863,5260,35.2,0.4,1.363,1.363,1.369,1.363,1.356,1.356,4116.3,4091.3,4091.3,4091.3,4091.3,4091.3,99.8,9.2,2.1,14.1,0.0,4.2,4.2,4.2,1.4,3.5,1.4,2.1,0.7,14.1,3.9,41.3,41.0,41.0,41.0,41.0,41.0,1496.8,15.00,16,20,20,38,70,525,1,37.3,1.356,1.087,12.518,9.412,23.542,1.456,2.061,1.789,0.879,1.082,1.425,16.977,10.235,27.212,37,23,28,28,28,28,1.352,2.507,12.034,5.123,0.033,0.033,0.033,3.357,3.205,3.357,1298,1300,1209,Yes,27,96.0,No,No,7335,9723,19.9,7.5,27.4,34.189,0.606,3659,3177,29,0.750,0,6.750,5.063,33.258,300.0,300.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307,30,8.0,366,0,0.750,11.734,0.750,6.836,4.993,227,16,14.958,1.225,0,0.000,
10.11.2018,16:19:52.085,5940,8327,41.6,2907,5216,35.7,0.4,1.375,1.363,1.369,1.375,1.344,1.350,4116.3,4116.3,4116.3,4116.3,4091.3,4091.3,99.8,5.6,8.4,16.1,0.0,15.6,29.0,15.6,3.5,29.0,0.0,4.9,5.6,29.0,11.1,41.3,41.3,41.3,41.3,41.0,41.0,1496.8,15.00,16,20,20,38,70,525,1,37.3,1.344,1.087,27.012,10.294,34.496,2.115,2.777,4.661,2.630,4.143,1.946,36.297,11.195,47.492,37,23,28,28,28,28,1.352,2.485,12.034,5.123,0.033,0.033,0.033,3.335,3.205,3.335,1259,1300,1207,Yes,27,96.0,No,No,7335,9723,44.5,23.4,67.9,41.301,1.293,3745,3179,29,0.750,0,6.750,5.063,34.430,300.0,300.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323,30,8.0,382,0,0.750,11.703,0.750,6.641,5.139,227,16,11.556,9.740,0,0.000,
10.11.2018,16:19:54.296,6013,8254,42.1,2954,5169,36.3,0.4,1.369,1.369,1.363,1.369,1.369,1.363,4116.3,4116.3,4116.3,4166.2,4116.3,4116.3,99.8,7.9,15.9,10.0,2.8,23.7,17.3,13.6,1.4,7.1,5.0,10.0,8.6,23.7,10.3,41.3,41.3,41.3,41.8,41.3,41.3,1496.8,15.00,16,20,20,38,70,525,1,35.9,1.444,1.087,5.929,9.118,33.298,3.385,2.668,4.527,2.470,2.367,2.281,8.561,9.915,18.476,36,23,28,28,28,28,1.352,2.485,12.034,5.096,0.033,0.033,0.033,3.335,3.205,3.335,1240,1298,1205,Yes,27,96.0,No,No,7335,9723,21.4,29.3,50.7,26.764,2.301,3801,3184,29,0.750,0,7.594,5.695,33.648,300.0,300.0,0.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362,30,8.0,422,0,0.750,11.703,0.750,7.617,5.713,227,16,16.508,5.065,0,0.000,
10.11.2018,16:19:56.435,6038,8229,42.3,2972,5151,36.5,0.4,1.431,1.388,1.363,1.344,1.369,1.375,4166.2,4116.3,4116.3,4091.3,4116.3,4116.3,99.8,1.4,0.7,4.2,0.0,2.1,1.4,0.0,0.0,1.4,0.7,0.7,0.0,4.2,1.1,41.8,41.3,41.3,41.0,41.3,41.3,1496.8,15.00,16,20,20,38,70,525,1,33.4,1.375,1.087,11.859,9.412,16.659,0.457,0.974,0.610,0.417,0.437,0.594,16.306,10.235,26.541,33,23,29,29,29,29,0.436,2.485,12.034,5.096,0.033,0.033,0.033,3.357,3.205,3.335,1161,1298,1209,Yes,27,96.0,No,No,7335,9723,1.6,3.7,5.3,1.588,0.472,3804,3185,28,0.819,0,12.656,10.362,38.855,751.0,300.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364,31,8.0,424,0,0.819,11.703,0.819,8.984,7.043,228,16,16.335,19.599,0,0.000,
10.11.2018,16:19:58.522,6253,8014,43.8,3053,5070,37.5,0.4,1.369,1.350,1.350,1.350,1.363,1.356,4091.3,4091.3,4091.3,4091.3,4091.3,4116.3,99.8,5.1,3.6,12.5,3.6,10.2,4.4,13.1,2.2,28.4,2.9,4.3,12.5,28.4,8.6,41.0,41.0,41.0,41.0,41.0,41.3,1496.8,15.00,16,20,20,38,70,525,1,40.8,1.356,1.087,17.788,9.412,30.398,1.445,2.158,2.289,2.248,3.319,2.960,24.125,10.235,34.361,40,23,29,29,29,29,1.341,2.496,12.034,5.096,0.033,0.033,0.033,3.357,3.205,3.335,1400,1300,1207,Yes,27,96.0,No,No,7335,9723,8.5,5.7,14.2,7.822,0.570,3820,3186,29,0.750,0,6.750,5.063,33.066,300.0,300.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,456,41,8.0,516,0,0.750,11.734,0.750,6.836,5.127,228,16,108.795,25.699,0,0.000,
10.11.2018,16:20:0.611,6392,7875,44.8,3132,4991,38.5,0.4,1.344,1.344,1.356,1.369,1.344,1.369,4091.3,4091.3,4091.3,4091.3,4091.3,4116.3,99.8,16.5,24.6,23.8,3.7,44.3,8.2,18.7,8.9,36.8,9.7,23.3,12.6,44.3,19.3,41.0,41.0,41.0,41.0,41.0,41.3,1496.8,15.00,16,20,20,38,70,525,1,47.4,1.369,1.087,11.859,9.706,42.730,4.778,3.631,5.942,3.468,5.270,4.048,16.232,10.555,26.787,47,23,29,29,29,29,1.363,2.507,12.034,5.096,0.033,0.033,0.033,3.335,3.205,3.335,1551,1300,1207,Yes,27,96.0,No,No,7335,9723,5.5,0.9,6.4,4.644,0.744,3829,3188,29,0.750,0,6.750,5.063,35.523,300.0,300.0,0.0,12.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,524,41,8.0,584,0,0.750,11.703,0.750,6.836,5.139,229,16,685.927,63.565,0,0.000,
10.11.2018,16:20:2.698,6455,7812,45.2,3187,4936,39.2,0.4,1.363,1.356,1.363,1.369,1.363,1.363,4091.3,4091.3,4091.3,4066.4,4091.3,4091.3,99.8,22.3,21.6,28.3,1.4,27.6,2.2,17.9,5.2,32.8,8.2,6.7,18.6,32.8,16.1,41.0,41.0,41.0,40.8,41.0,41.0,1496.8,15.00,16,20,20,38,70,525,1,44.1,1.356,1.087,21.741,10.000,39.617,5.153,3.551,3.528,2.892,5.357,3.465,29.486,10.875,40.361,44,23,29,29,29,29,1.363,2.496,12.034,5.096,0.033,0.033,0.033,3.335,3.205,3.357,1610,1298,1207,Yes,27,96.0,No,No,7335,9723,1.9,1.4,3.3,1.770,1.655,3833,3191,29,0.819,0,11.813,9.671,37.547,751.0,1000.0,0.0,12.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,561,52,8.0,620,0,0.800,11.672,0.894,16.016,14.111,229,16,124.446,46.679,0,0.000,
