Date,Time,"Virtual Memory Commited [MB]","Virtual Memory Available [MB]","Virtual Memory Load [%]","Physical Memory Used [MB]","Physical Memory Available [MB]","Physical Memory Load [%]","Page File Usage [%]","Core #0 VID [V]","Core #1 VID [V]","Core #2 VID [V]","Core #3 VID [V]","Core #4 VID [V]","Core #5 VID [V]","Core #0 Clock (perf #1) [MHz]","Core #1 Clock [MHz]","Core #2 Clock (perf #0) [MHz]","Core #3 Clock (perf #3) [MHz]","Core #4 Clock [MHz]","Core #5 Clock (perf #4) [MHz]","Bus Clock [MHz]","Core #0 Thread #0 Usage [%]","Core #0 Thread #1 Usage [%]","Core #1 Thread #0 Usage [%]","Core #1 Thread #1 Usage [%]","Core #2 Thread #0 Usage [%]","Core #2 Thread #1 Usage [%]","Core #3 Thread #0 Usage [%]","Core #3 Thread #1 Usage [%]","Core #4 Thread #0 Usage [%]","Core #4 Thread #1 Usage [%]","Core #5 Thread #0 Usage [%]","Core #5 Thread #1 Usage [%]","Max CPU/Thread Usage [%]","Total CPU Usage [%]","Core #0 Ratio [x]","Core #1 Ratio [x]","Core #2 Ratio [x]","Core #3 Ratio [x]","Core #4 Ratio [x]","Core #5 Ratio [x]","Memory Clock [MHz]","Memory Clock Ratio [x]","Tcas [T]","Trcd [T]","Trp [T]","Tras [T]","Trc [T]","Trfc [T]","Command Rate [T]","CPU (Tctl/Tdie) [°C]","CPU Core Voltage (SVI2 TFN) [V]","SoC Voltage (SVI2 TFN) [V]","CPU Core Current (SVI2 TFN) [A]","SoC Current (SVI2 TFN) [A]","CPU Package Power (SMU) [W]","Core #0 Power (SMU) [W]","Core #1 Power (SMU) [W]","Core #2 Power (SMU) [W]","Core #3 Power (SMU) [W]","Core #4 Power (SMU) [W]","Core #5 Power (SMU) [W]","CPU Core Power (SVI2 TFN) [W]","SoC Power (SVI2 TFN) [W]","CPU+SoC Power (SVI2 TFN) [W]","CPU [°C]","Motherboard [°C]","Temperature 3 [°C]","Temperature 4 [°C]","Temperature 5 [°C]","Temperature 6 [°C]","VDDCR CPU [V]","Vccp2 [V]","+12V [V]","+5V [V]","VIN4 [V]","VIN5 [V]","VIN6 [V]","3VSB [V]","VBAT [V]","AVCC3 [V]","CPU [RPM]","Chassis2 [RPM]","Chassis3 [RPM]","Chassis Intrusion [Yes/No]","Drive Temperature [°C]","Drive Remaining Life [%]","Drive Failure [Yes/No]","Drive Warning [Yes/No]","Total Host Writes [GB]","Total Host Reads [GB]","Read Activity [%]","Write Activity [%]","Total Activity [%]","Read Rate [MB/s]","Write Rate [MB/s]","Read Total [MB]","Write Total [MB]","GPU Thermal Diode [°C]","GPU Core Voltage (VDDC) [V]","GPU Fan [RPM]","GPU Core Current [A]","GPU Core Power [W]","GPU Chip Power [W]","GPU Clock [MHz]","GPU Memory Clock [MHz]","GPU Utilization [%]","GPU D3D Usage [%]","GPU Video Decode 0 Usage [%]","GPU Video Encode 0 Usage [%]","GPU Video Encode 1 Usage [%]","GPU Video Encode 2 Usage [%]","GPU Video Encode 3 Usage [%]","GPU Video Encode 4 Usage [%]","GPU Computing (High Priority Compute) Usage [%]","GPU Computing (Compute 3) Usage [%]","GPU Computing (Compute 0) Usage [%]","GPU Computing (Compute 1) Usage [%]","GPU Fan Speed [%]","GPU D3D Memory Dedicated [MB]","GPU D3D Memory Dynamic [MB]","PCIe Link Speed [GT/s]","GPU Memory Usage [MB]","GPU Memory Errors []","GPU Voltage [V]","GPU VRM Voltage In (VIN/+12V) [V]","GPU VID [V]","GPU Current [A]","GPU VRM Power Out (POUT) [W]","Total DL [MB]","Total UP [MB]","Current DL rate [KB/s]","Current UP rate [KB/s]","Total Errors []","GPU Aux Current [A]",
10.11.2018,16:6:49.197,5598,8669,39.2,2683,5440,33.0,0.4,0.344,0.344,0.500,0.575,1.363,1.431,2993.7,2993.7,2993.7,2993.7,2827.3,4241.0,99.8,0.7,1.4,0.7,1.4,3.5,0.7,2.1,0.7,1.4,1.4,2.1,0.7,3.5,1.4,30.0,30.0,30.0,30.0,28.3,42.5,1496.8,15.00,16,20,20,38,70,525,1,37.5,1.444,1.087,5.929,9.118,16.426,0.392,0.630,0.438,0.330,0.495,0.795,8.561,9.915,18.476,37,23,28,28,28,28,0.316,2.496,12.034,5.096,0.033,0.033,0.033,3.335,3.205,3.335,1110,1300,1207,Yes,27,96.0,No,No,7335,9723,1.6,0.1,1.7,1.517,0.412,3476,3155,29,0.750,0,6.750,5.063,32.914,300.0,300.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207,23,8.0,274,0,0.750,11.703,0.750,6.836,5.139,227,15,0.000,0.000,0,0.000,
10.11.2018,16:6:51.401,5590,8677,39.1,2682,5441,33.0,0.4,0.875,0.344,0.344,0.394,0.344,0.344,4116.3,2993.7,2993.7,2993.7,2993.7,2993.7,99.8,1.4,0.0,2.8,0.0,0.7,0.0,0.7,0.0,0.0,0.0,1.4,1.4,2.8,0.7,41.3,30.0,30.0,30.0,30.0,30.0,1496.8,15.00,16,20,20,38,70,525,1,34.1,1.350,1.094,7.247,8.529,15.388,0.234,0.123,0.223,0.098,0.059,0.780,9.784,9.329,19.113,34,23,28,28,28,28,1.341,2.485,12.034,5.096,0.033,0.033,0.033,3.357,3.205,3.335,1207,1300,1209,Yes,27,96.0,No,No,7335,9723,0.0,0.9,0.9,0.000,0.298,3476,3155,29,0.750,0,6.750,5.063,33.355,300.0,300.0,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205,23,8.0,272,0,0.750,11.703,0.750,6.641,5.139,227,15,0.028,0.039,0,0.000,
10.11.2018,16:6:53.605,5586,8682,39.1,2681,5442,33.0,0.4,0.344,0.344,0.344,0.344,0.344,0.344,2993.7,2993.7,2993.7,2993.7,2993.7,2993.7,99.8,0.7,0.0,0.0,0.0,2.1,0.0,0.7,0.0,0.0,1.4,0.0,2.1,2.1,0.6,30.0,30.0,30.0,30.0,30.0,30.0,1496.8,15.00,16,20,20,38,70,525,1,30.9,0.906,1.094,2.635,9.118,13.392,0.302,0.075,0.194,0.075,0.128,0.571,2.388,9.972,12.361,31,23,28,28,28,28,0.327,2.485,12.034,5.096,0.033,0.033,0.033,3.357,3.205,3.357,1101,1300,1205,Yes,27,96.0,No,No,7335,9723,0.0,0.4,0.4,0.000,0.297,3476,3156,29,0.750,0,6.750,5.063,32.906,300.0,300.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205,23,8.0,272,0,0.750,11.703,0.750,6.641,5.139,227,15,0.000,0.000,0,0.000,
10.11.2018,16:6:55.809,5584,8683,39.1,2681,5442,33.0,0.4,0.344,0.344,0.344,0.344,0.344,0.344,2993.7,2993.7,2993.7,2993.7,2993.7,2993.7,99.8,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.1,30.0,30.0,30.0,30.0,30.0,30.0,1496.8,15.00,16,20,20,38,70,525,1,27.6,0.875,1.094,1.318,7.941,10.871,0.027,0.024,0.083,0.019,0.016,0.210,1.153,8.686,9.839,27,23,28,28,28,28,0.578,2.507,12.034,5.096,0.033,0.033,0.033,3.357,3.205,3.357,971,1300,1211,Yes,27,96.0,No,No,7335,9723,0.0,0.7,0.7,0.000,0.011,3476,3156,29,0.750,0,6.750,5.063,32.910,300.0,300.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205,23,8.0,272,0,0.750,11.703,0.750,6.445,4.993,227,15,0.000,0.000,0,0.000,
10.11.2018,16:6:58.013,5584,8683,39.1,2681,5442,33.0,0.4,0.344,0.344,0.344,0.344,0.344,0.344,2993.7,2993.7,2993.7,2993.7,2993.7,2993.7,99.8,0.0,0.0,0.7,0.0,0.7,0.0,0.0,0.0,0.0,0.7,0.0,0.7,0.7,0.2,30.0,30.0,30.0,30.0,30.0,30.0,1496.8,15.00,16,20,20,38,70,525,1,33.6,0.969,1.094,1.318,7.941,11.442,0.060,0.021,0.072,0.032,0.149,0.238,1.276,8.686,9.962,34,23,28,28,28,28,0.338,2.496,12.034,5.096,0.033,0.033,0.033,3.335,3.205,3.335,1159,1300,1207,Yes,27,96.0,No,No,7335,9723,0.0,0.0,0.0,0.000,0.003,3476,3156,29,0.750,0,6.750,5.063,32.910,300.0,300.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205,23,8.0,272,0,0.750,11.734,0.750,6.836,4.993,227,15,0.000,0.000,0,0.000,
10.11.2018,16:7:0.218,5586,8681,39.1,2681,5442,33.0,0.4,0.344,0.344,0.344,0.344,0.344,0.344,2993.7,2993.7,2993.7,2993.7,2993.7,2993.7,99.8,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.1,30.0,30.0,30.0,30.0,30.0,30.0,1496.8,15.00,16,20,20,38,70,525,1,30.3,1.350,1.094,9.882,7.941,10.886,0.030,0.020,0.066,0.031,0.027,0.205,13.341,8.686,22.027,30,23,28,28,28,28,1.319,2.507,12.034,5.096,0.033,0.033,0.033,3.335,3.205,3.335,1088,1300,1207,Yes,27,96.0,No,No,7335,9723,0.0,0.0,0.0,0.000,0.000,3476,3156,29,0.750,0,6.750,5.063,32.910,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205,23,8.0,272,0,0.750,11.703,0.750,6.836,5.139,227,15,2.038,0.000,0,0.000,
10.11.2018,16:7:2.422,5586,8681,39.1,2681,5442,33.0,0.4,0.344,0.344,0.344,0.344,0.344,0.344,2993.7,2993.7,2993.7,2993.7,2993.7,2993.7,99.8,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.1,30.0,30.0,30.0,30.0,30.0,30.0,1496.8,15.00,16,20,20,38,70,525,1,27.0,1.356,1.094,5.271,7.941,10.929,0.044,0.021,0.070,0.030,0.042,0.212,7.148,8.686,15.834,27,23,28,28,28,28,1.330,2.496,12.034,5.123,0.033,0.033,0.033,3.335,3.205,3.335,953,1298,1209,Yes,27,96.0,No,No,7335,9723,0.0,0.0,0.0,0.000,0.033,3476,3156,29,0.750,0,6.750,5.063,32.688,300.0,300.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205,23,8.0,272,0,0.750,11.703,0.750,6.641,4.846,227,15,0.081,0.085,0,0.000,
10.11.2018,16:7:4.628,5585,8682,39.1,2681,5442,33.0,0.4,0.344,0.344,0.344,0.344,0.356,0.344,2993.7,2993.7,2993.7,2993.7,2993.7,2993.7,99.8,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.7,0.0,0.7,0.7,0.2,30.0,30.0,30.0,30.0,30.0,30.0,1496.8,15.00,16,20,20,38,70,525,1,33.9,1.350,1.094,7.247,8.529,10.972,0.043,0.019,0.067,0.029,0.136,0.225,9.784,9.329,19.113,34,23,28,28,28,28,0.872,2.496,12.034,5.123,0.033,0.033,0.033,3.335,3.205,3.357,1083,1298,1209,Yes,27,96.0,No,No,7335,9723,0.0,0.0,0.0,0.000,0.079,3476,3156,29,0.750,0,6.750,5.063,32.910,300.0,300.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205,23,8.0,272,0,0.750,11.703,0.750,6.641,5.139,227,15,0.000,0.000,0,0.000,
10.11.2018,16:7:6.832,5585,8682,39.1,2679,5444,32.9,0.4,0.344,0.344,0.344,0.344,0.475,0.344,2993.7,2993.7,2993.7,2993.7,2993.7,2993.7,99.8,0.7,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.2,30.0,30.0,30.0,30.0,30.0,30.0,1496.8,15.00,16,20,20,38,70,525,1,30.5,1.350,1.094,7.247,7.941,10.892,0.019,0.015,0.060,0.024,0.021,0.218,9.784,8.686,18.469,30,23,28,28,28,28,0.349,2.485,12.034,5.096,0.033,0.033,0.033,3.357,3.205,3.357,1078,1298,1209,Yes,27,96.0,No,No,7335,9723,0.0,0.7,0.7,0.000,0.056,3476,3156,29,0.750,0,6.750,5.063,32.938,300.0,300.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205,23,8.0,272,0,0.750,11.703,0.750,6.836,5.139,227,15,0.028,0.028,0,0.000,
10.11.2018,16:7:9.037,5587,8681,39.1,2679,5444,32.9,0.4,0.344,0.344,0.344,0.344,0.694,0.344,2993.7,2993.7,2993.7,2993.7,2993.7,2993.7,99.8,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.1,30.0,30.0,30.0,30.0,30.0,30.0,1496.8,15.00,16,20,20,38,70,525,1,27.3,1.350,1.094,7.906,9.118,11.375,0.030,0.019,0.065,0.031,0.142,0.252,10.673,9.972,20.645,27,23,28,28,28,28,0.883,2.496,12.034,5.096,0.033,0.033,0.033,3.357,3.205,3.357,965,1300,1211,Yes,27,96.0,No,No,7335,9723,0.0,0.0,0.0,0.000,0.000,3476,3156,29,0.750,0,6.750,5.063,32.926,300.0,300.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205,23,8.0,272,0,0.750,11.703,0.750,7.031,5.286,227,15,0.000,0.000,0,0.000,
